JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Data Analyst – Optima - Chennai C10 (R23000756),Citi,"Chennai, Tamil Nadu",NA,30+ days ago,"Knowledge of data modelling, data lineage, and metadata documentation.
Demonstrated data analysis and intermediate/advanced Microsoft Office Suite skills.",https://in.indeed.com/rc/clk?jk=8f53af1acd059b67&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Entry Analyst,Wibits Web Solutions,"Nagercoil, Tamil Nadu",NA,30+ days ago,"Verify and update existing data.
Excellent typing and data entry skills.
Enter data accurately and efficiently into our company database.",https://in.indeed.com/rc/clk?jk=401f8327ae7e695c&fccid=b608d2633521f138&vjs=3
Data Visualization Specialist JOBID: Exem-222-JOB,Excellence and Eminence LLP,"Bengaluru, Karnataka","₹8,00,000 - ₹16,00,000 a year",30+ days ago,"Demonstrate good data storytelling including guidance around structuring your data stories, choosing the right metrics, and writing a guided narrative.",https://in.indeed.com/company/Excellence-and-Eminence-LLP/jobs/Data-Specialist-e110a2dc87142a0a?fccid=5aac79bb04807066&vjs=3
Engineer - Data Analyst,AstraZeneca,"Chennai, Tamil Nadu",NA,30+ days ago,"Acquire data from primary or secondary data sources and perform data profiling.
Interpret data, analyze results and provide quick data analysis.",https://in.indeed.com/rc/clk?jk=c5c07e1436d8a782&fccid=003656df63cede32&vjs=3
Data Analyst,NEXTWAVE MULTIMEDIA,"Royapettah, Chennai, Tamil Nadu",NA,30+ days ago,"Coordinate with both Strategic and development team explaining data insights and predictions.
Good experience with SQL, data modeling, dashboarding and…",https://in.indeed.com/rc/clk?jk=06b5982993789bed&fccid=e504ec9ad54895e5&vjs=3
Data Analyst,Techigai,"Hyderabad, Telangana",NA,30+ days ago,"Strong SQL logic skills and data analysis skills.
Strong experience in developing dashboards in Power BI/Tableau.",https://in.indeed.com/rc/clk?jk=9f140dcc23530d5b&fccid=c778d6a82366325a&vjs=3
Research Analyst - Cybersecurity,Siemens,"Bengaluru, Karnataka",NA,1 day ago,"You will conduct research that will yield new insights, theories, analysis, data, algorithms, and help secure the systems and software.",https://in.indeed.com/rc/clk?jk=bf92790a9dad2aa7&fccid=ea6bb53f0b18b8f2&vjs=3
Data Analyst,Mehta hospital,"Chennai, Tamil Nadu","₹30,000 - ₹40,000 a month",2 days ago,"Provide quality assurance of imported data, working with quality assurance analysts if necessary.
Commissioning and decommissioning of data sets.",https://in.indeed.com/company/Dr-Mehtas-Hospitals-Pvt-Ltd/jobs/Data-Analyst-c82f63d6472c4c46?fccid=2de50d0ee702d9a8&vjs=3
Behavioural Data Analyst,"RBG Labs, IIT Madras","Chennai, Tamil Nadu","₹3,24,000 - ₹7,20,000 a year",5 days ago,"Big data collection and analysis.
Knowledge on data analysis – Matlab, Excel and visualisation tools.
As part of the Driver Behavioral Team of CoERS, you will…","https://in.indeed.com/company/RBG-Labs,-IIT-Madras/jobs/Data-Analyst-9531d44a03724f7a?fccid=cacd7ace53ebf25a&vjs=3"
Data Analyst,Zapcom Group,India,NA,30+ days ago,"Developing and maintaining databases, data systems – reorganizing data in a readable format.
Performing analysis to assess quality and meaning of data.",https://in.indeed.com/rc/clk?jk=5bd1651dfbdda185&fccid=f221c29d23a8612e&vjs=3
Data Analyst,SRM Technologies,"Chennai, Tamil Nadu",NA,30+ days ago,Previous experience in delivering data-driven insights from initial data gathering and cleaning to analysis and visualization.,https://in.indeed.com/rc/clk?jk=10c74f9d0dc4d9b5&fccid=10fa8303d0f1ca66&vjs=3
Business & Data Analyst,LG Ad Solutions,"Bengaluru, Karnataka",NA,30+ days ago,"Create case studies by analysing past TV viewership and campaign exposure data.
Business and Data Analysts at LG Ads work on a range of domains spanning Digital…",https://in.indeed.com/rc/clk?jk=cde63eb2848d94e0&fccid=1de8e3e39d0a83e6&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mis2srzqL3ns8l_5xKwddZcr6u2MSST4hEMkV5emcNsMOuIsIo1ZIeJMdD9TXiY9VaFn7I9H7xQQ-QVM6smG59VXcShRWHPnv3sbR8y4tSvK7IDNC0FxOmJSfSB5WrtnRwZJemXAdN-DBTP6yP_qFTQJXBGYLa5NpnmGxnEzCJCo_Q7S1SmY1OmQE4IqCAHU7UUDNJDkGLqZ-1rkeuCLDqgZBJyA7m9H2iVi8Cduoy_lXGdQ9FDGJyN7ESo0qtG5BaoiRMZurR75Hx7mGSec26g-63yTeYrA6_kmajpTrjHyMcSpsptCEjYn4ged6t3w0X-ZXHVfAoZkm-w7EPFfPgPAkPIC71uEkzWPVmuZardqs4k_yyGVqa1LIheStHik1w==&xkcb=SoBx-_M3QdzzvTWyhp0FbzkdCdPP&p=13&fvj=0&vjs=3
Data Analyst,LKQ India,"Bengaluru, Karnataka",NA,30+ days ago,"Collects, analyzes and validates data in the enterprise data warehouse against source systems and data governance policies to ensure proper data availability to…",https://in.indeed.com/rc/clk?jk=f7481c2602377d60&fccid=7558d7bc45a14701&vjs=3
Data Analyst,Squareboat,"Gurgaon, Haryana",NA,13 days ago,"Comply with data integrity and security policies.
Experience with MS Office, SQL and other data visualization tools.",https://in.indeed.com/rc/clk?jk=b78541992317cf0f&fccid=7545d1c74b8bc8c1&vjs=3
"Data Analyst,SQL, ETL Frameworks, Meta data mapping - 2to5 yrs",Velocida Private Limited,"Chennai, Tamil Nadu","₹9,00,000 - ₹10,00,000 a year",7 days ago,"Experience with SQL and ability to write complex queries Experience in supporting data modeling, ETL development, data warehousing, data pipeline and data lake…",https://in.indeed.com/company/Velocida-Private-Limited/jobs/Data-Analyst-f6efc848e64c9795?fccid=5e6e21fd04d583c6&vjs=3
B2B Data Analyst,Growinity Solutions,"Pune, Maharashtra",NA,30+ days ago,"Shift – UK, US, APAC – As per the business requirement.
Hands-on experience in using online research tools (LinkedIn, ZoomInfo, Bloomberg, Hoovers) to retrieve…",https://in.indeed.com/rc/clk?jk=6b89271a16815d14&fccid=bb7cb9b7976a3a63&vjs=3
Risk Analyst,Business fundamental pvt ltd,"Remote in Indi, Karnataka","₹12,00,000 - ₹25,00,000 a year",5 days ago," Understand and analyze data to provide insights and develop strategy.
 Coding for fetching and processing data - SQL, Hive, Python.",https://in.indeed.com/company/Business-fundamental-pvt-ltd/jobs/Risk-Analyst-1c01f8c78b0f43d9?fccid=1fb7745a930a2d0c&vjs=3
Data Engineer: Business Intelligence,IBM,"Mumbai, Maharashtra",NA,12 days ago,"Performing and documenting data analysis, data validation, and data mapping/design.
Creating tools to store data within the organization.",https://in.indeed.com/rc/clk?jk=259e2c5894e40409&fccid=de71a49b535e21cb&vjs=3
Software Engineering: Data Analyst,Logikview,"Indore, Madhya Pradesh",NA,30+ days ago,Looking for a data analyst on various data analytics projects aiding strategic decision making; somebody who can collect/organize/prepare/manage data for the…,https://in.indeed.com/rc/clk?jk=47535c733512d452&fccid=5841c9ef396847e6&vjs=3
Data Analyst ( For female candidate),Lite Technology,"Mumbai, Maharashtra","₹15,000 - ₹30,000 a month",3 days ago,"The ideal candidate will have experience to generate leads through different strategies including calling, email marketing, social media.",https://in.indeed.com/company/Lite-Technology/jobs/Data-Analyst-facad24ad3361e09?fccid=c9b95fce61213c1c&vjs=3
Aftermarket Insight Research Analyst,S&P Global,"Gurgaon, Haryana",NA,2 days ago,"Grade/Level ( relevant for internal applicants only ): 8.
Our clients range from manufacturers that provide products for the accessorizing, repair or…",https://in.indeed.com/rc/clk?jk=65bbd5cc4725204f&fccid=b716e44d2c6283e7&vjs=3
Data Analyst,Initium HR,Haryana,NA,2 days ago,"En inITium HR estamos especializados en la selección de recursos humanos del sector TIC.
Ejecutarás la estrategia de datos a través de las herramientas…",https://in.indeed.com/rc/clk?jk=847181d876c0e8c0&fccid=96599cdf6da7db08&vjs=3
